agent-json	2026-09-14T21:44:15Z	0	200	https://aidailybrief.ai/agent.json
sep14-json	2026-09-14T21:44:16Z	0	404	https://aidailybrief.ai/e/2026-09-14.json
sep14-transcript	2026-09-14T21:44:16Z	0	404	https://aidailybrief.ai/e/2026-09-14/transcript.md
sep13-json	2026-09-14T21:44:17Z	0	200	https://aidailybrief.ai/e/2026-09-13.json
sep13-transcript	2026-09-14T21:44:17Z	0	200	https://aidailybrief.ai/e/2026-09-13/transcript.md
sep12-json	2026-09-14T21:44:17Z	0	404	https://aidailybrief.ai/e/2026-09-12.json
sep12-transcript	2026-09-14T21:44:18Z	0	404	https://aidailybrief.ai/e/2026-09-12/transcript.md
beehiiv-index	2026-09-14T21:44:19Z	0	403	https://aidailybrief.beehiiv.com/
apple-index	2026-09-14T21:44:19Z	0	200	https://podcasts.apple.com/us/podcast/the-ai-daily-brief-artificial-intelligence-news/id1680633614
mollick-feed	2026-09-14T21:44:20Z	0	200	https://www.oneusefulthing.org/feed
allie-resources	2026-09-14T21:44:24Z	0	200	https://www.alliekmiller.com/resources
